RANK,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,Type,UID,Population Sum,% of Population,Total
1012,50,27,49,0,0,0,0,A,Goodhue County,Minnesota,47580,47575,48018,48013,County,Goodhue County_Minnesota_47580_47575_48018_48013,292585423,88.72%,
1013,50,37,83,0,0,0,0,A,Halifax County,North Carolina,48622,48521,48377,47848,County,Halifax County_North Carolina_48622_48521_48377_47848,292633271,88.74%,
1014,50,48,55,0,0,0,0,A,Caldwell County,Texas,45887,45949,46904,47848,County,Caldwell County_Texas_45887_45949_46904_47848,292681119,88.75%,
1015,50,22,101,0,0,0,0,A,St. Mary Parish,Louisiana,49405,49143,48188,47789,Parish,St. Mary Parish_Louisiana_49405_49143_48188_47789,292728908,88.77%,
1016,50,36,107,0,0,0,0,A,Tioga County,New York,48461,48352,48087,47772,County,Tioga County_New York_48461_48352_48087_47772,292776680,88.78%,
1017,50,47,123,0,0,0,0,A,Monroe County,Tennessee,46249,46395,46668,47740,County,Monroe County_Tennessee_46249_46395_46668_47740,292824420,88.80%,
1018,50,39,149,0,0,0,0,A,Shelby County,Ohio,48222,48138,48030,47671,County,Shelby County_Ohio_48222_48138_48030_47671,292872091,88.81%,
1019,50,53,75,0,0,0,0,A,Whitman County,Washington,47971,47804,43238,47619,County,Whitman County_Washington_47971_47804_43238_47619,292919710,88.83%,
1020,50,48,465,0,0,0,0,A,Val Verde County,Texas,47584,47605,47589,47606,County,Val Verde County_Texas_47584_47605_47589_47606,292967316,88.84%,
1021,50,35,9,0,0,0,0,A,Curry County,New Mexico,48429,48370,47960,47532,County,Curry County_New Mexico_48429_48370_47960_47532,293014848,88.85%,
1022,50,13,137,0,0,0,0,A,Habersham County,Georgia,46033,46138,46740,47475,County,Habersham County_Georgia_46033_46138_46740_47475,293062323,88.87%,
1023,50,42,9,0,0,0,0,A,Bedford County,Pennsylvania,47573,47569,47495,47418,County,Bedford County_Pennsylvania_47573_47569_47495_47418,293109741,88.88%,
1024,50,21,179,0,0,0,0,A,Nelson County,Kentucky,46737,46784,47149,47392,County,Nelson County_Kentucky_46737_46784_47149_47392,293157133,88.90%,
1025,50,18,113,0,0,0,0,A,Noble County,Indiana,47461,47453,47419,47367,County,Noble County_Indiana_47461_47453_47419_47367,293204500,88.91%,
1026,50,30,81,0,0,0,0,A,Ravalli County,Montana,44172,44409,46125,47298,County,Ravalli County_Montana_44172_44409_46125_47298,293251798,88.93%,
1027,50,22,115,0,0,0,0,A,Vernon Parish,Louisiana,48754,48625,48056,47247,Parish,Vernon Parish_Louisiana_48754_48625_48056_47247,293299045,88.94%,
1028,50,5,35,0,0,0,0,A,Crittenden County,Arkansas,48169,48086,47475,47061,County,Crittenden County_Arkansas_48169_48086_47475_47061,293346106,88.96%,
1029,50,56,5,0,0,0,0,A,Campbell County,Wyoming,47027,47139,46533,47058,County,Campbell County_Wyoming_47027_47139_46533_47058,293393164,88.97%,
1030,50,48,499,0,0,0,0,A,Wood County,Texas,44855,45041,46031,46857,County,Wood County_Texas_44855_45041_46031_46857,293440021,88.98%,
1031,50,55,5,0,0,0,0,A,Barron County,Wisconsin,46709,46714,46746,46843,County,Barron County_Wisconsin_46709_46714_46746_46843,293486864,89.00%,
1032,50,27,7,0,0,0,0,A,Beltrami County,Minnesota,46230,46243,46420,46799,County,Beltrami County_Minnesota_46230_46243_46420_46799,293533663,89.01%,
1033,50,36,3,0,0,0,0,A,Allegany County,New York,46446,47320,46921,46694,County,Allegany County_New York_46446_47320_46921_46694,293580357,89.03%,
1034,50,6,9,0,0,0,0,A,Calaveras County,California,45285,45346,46219,46563,County,Calaveras County_California_45285_45346_46219_46563,293626920,89.04%,
1035,50,36,17,0,0,0,0,A,Chenango County,New York,47216,47067,46637,46458,County,Chenango County_New York_47216_47067_46637_46458,293673378,89.05%,
1036,50,5,55,0,0,0,0,A,Greene County,Arkansas,45740,45864,46349,46448,County,Greene County_Arkansas_45740_45864_46349_46448,293719826,89.07%,
1037,50,36,33,0,0,0,0,A,Franklin County,New York,47556,47565,47040,46373,County,Franklin County_New York_47556_47565_47040_46373,293766199,89.08%,
1038,50,19,45,0,0,0,0,A,Clinton County,Iowa,46470,46432,46526,46344,County,Clinton County_Iowa_46470_46432_46526_46344,293812543,89.10%,
1039,50,17,29,0,0,0,0,A,Coles County,Illinois,46865,46761,46809,46334,County,Coles County_Illinois_46865_46761_46809_46334,293858877,89.11%,
1040,50,18,99,0,0,0,0,A,Marshall County,Indiana,46096,46076,46175,46332,County,Marshall County_Indiana_46096_46076_46175_46332,293905209,89.12%,
1041,50,18,71,0,0,0,0,A,Jackson County,Indiana,46425,46461,46285,46300,County,Jackson County_Indiana_46425_46461_46285_46300,293951509,89.14%,
1042,50,36,23,0,0,0,0,A,Cortland County,New York,46814,46750,46489,46126,County,Cortland County_New York_46814_46750_46489_46126,293997635,89.15%,
1043,50,42,99,0,0,0,0,A,Perry County,Pennsylvania,45837,45828,45941,46114,County,Perry County_Pennsylvania_45837_45828_45941_46114,294043749,89.17%,
1044,50,55,81,0,0,0,0,A,Monroe County,Wisconsin,46270,46296,46246,46109,County,Monroe County_Wisconsin_46270_46296_46246_46109,294089858,89.18%,
1045,50,28,45,0,0,0,0,A,Hancock County,Mississippi,46047,46117,46046,46094,County,Hancock County_Mississippi_46047_46117_46046_46094,294135952,89.19%,
1046,50,39,91,0,0,0,0,A,Logan County,Ohio,46144,46106,46129,46040,County,Logan County_Ohio_46144_46106_46129_46040,294181992,89.21%,
1047,50,42,87,0,0,0,0,A,Mifflin County,Pennsylvania,46145,46144,46187,45988,County,Mifflin County_Pennsylvania_46145_46144_46187_45988,294227980,89.22%,
1048,50,39,11,0,0,0,0,A,Auglaize County,Ohio,46421,46461,46240,45948,County,Auglaize County_Ohio_46421_46461_46240_45948,294273928,89.24%,
1049,50,1,21,0,0,0,0,A,Chilton County,Alabama,45009,45051,45259,45884,County,Chilton County_Alabama_45009_45051_45259_45884,294319812,89.25%,
1050,50,50,25,0,0,0,0,A,Windham County,Vermont,45909,45850,46128,45842,County,Windham County_Vermont_45909_45850_46128_45842,294365654,89.26%,
1051,50,40,113,0,0,0,0,A,Osage County,Oklahoma,45823,45778,45868,45839,County,Osage County_Oklahoma_45823_45778_45868_45839,294411493,89.28%,
1052,50,13,71,0,0,0,0,A,Colquitt County,Georgia,45902,45900,45757,45762,County,Colquitt County_Georgia_45902_45900_45757_45762,294457255,89.29%,
1053,50,26,59,0,0,0,0,A,Hillsdale County,Michigan,45759,45733,45609,45762,County,Hillsdale County_Michigan_45759_45733_45609_45762,294503017,89.31%,
1054,50,55,95,0,0,0,0,A,Polk County,Wisconsin,44979,45032,45521,45709,County,Polk County_Wisconsin_44979_45032_45521_45709,294548726,89.32%,
1055,50,55,33,0,0,0,0,A,Dunn County,Wisconsin,45434,45441,44509,45651,County,Dunn County_Wisconsin_45434_45441_44509_45651,294594377,89.33%,
1056,50,13,275,0,0,0,0,A,Thomas County,Georgia,45806,45785,45815,45561,County,Thomas County_Georgia_45806_45785_45815_45561,294639938,89.35%,
1057,50,47,99,0,0,0,0,A,Lawrence County,Tennessee,44163,44182,44729,45415,County,Lawrence County_Tennessee_44163_44182_44729_45415,294685353,89.36%,
1058,50,12,121,0,0,0,0,A,Suwannee County,Florida,43472,43517,44092,45411,County,Suwannee County_Florida_43472_43517_44092_45411,294730764,89.38%,
1059,50,29,161,0,0,0,0,A,Phelps County,Missouri,44640,44560,44949,45313,County,Phelps County_Missouri_44640_44560_44949_45313,294776077,89.39%,
1060,50,40,87,0,0,0,0,A,McClain County,Oklahoma,41667,41911,43497,45306,County,McClain County_Oklahoma_41667_41911_43497_45306,294821383,89.40%,
1061,50,12,75,0,0,0,0,A,Levy County,Florida,42912,43059,44158,45260,County,Levy County_Florida_42912_43059_44158_45260,294866643,89.42%,
1062,50,18,93,0,0,0,0,A,Lawrence County,Indiana,45015,45012,45045,45222,County,Lawrence County_Indiana_45015_45012_45045_45222,294911865,89.43%,
1063,50,27,61,0,0,0,0,A,Itasca County,Minnesota,45018,45035,45058,45205,County,Itasca County_Minnesota_45018_45035_45058_45205,294957070,89.44%,
1064,50,53,37,0,0,0,0,A,Kittitas County,Washington,44342,44626,44688,45189,County,Kittitas County_Washington_44342_44626_44688_45189,295002259,89.46%,
1065,50,37,169,0,0,0,0,A,Stokes County,North Carolina,44523,44565,44641,45175,County,Stokes County_North Carolina_44523_44565_44641_45175,295047434,89.47%,
1066,50,22,117,0,0,0,0,A,Washington Parish,Louisiana,45456,45344,45176,45025,Parish,Washington Parish_Louisiana_45456_45344_45176_45025,295092459,89.48%,
1067,50,18,145,0,0,0,0,A,Shelby County,Indiana,45052,45058,45025,44991,County,Shelby County_Indiana_45052_45058_45025_44991,295137450,89.50%,
1068,50,51,171,0,0,0,0,A,Shenandoah County,Virginia,44192,44263,44829,44968,County,Shenandoah County_Virginia_44192_44263_44829_44968,295182418,89.51%,
1069,50,21,9,0,0,0,0,A,Barren County,Kentucky,44482,44502,44599,44854,County,Barren County_Kentucky_44482_44502_44599_44854,295227272,89.53%,
1070,50,21,107,0,0,0,0,A,Hopkins County,Kentucky,45422,45366,45096,44812,County,Hopkins County_Kentucky_45422_45366_45096_44812,295272084,89.54%,
1071,50,29,27,0,0,0,0,A,Callaway County,Missouri,44290,44337,44667,44762,County,Callaway County_Missouri_44290_44337_44667_44762,295316846,89.55%,
1072,50,37,111,0,0,0,0,A,McDowell County,North Carolina,44577,44580,44586,44753,County,McDowell County_North Carolina_44577_44580_44586_44753,295361599,89.57%,
1073,50,36,25,0,0,0,0,A,Delaware County,New York,44302,44221,44753,44740,County,Delaware County_New York_44302_44221_44753_44740,295406339,89.58%,
1074,50,26,23,0,0,0,0,A,Branch County,Michigan,44860,44868,45202,44531,County,Branch County_Michigan_44860_44868_45202_44531,295450870,89.59%,
1075,50,22,87,0,0,0,1,A,St. Bernard Parish,Louisiana,43766,43853,44330,44479,Parish,St. Bernard Parish_Louisiana_43766_43853_44330_44479,295495349,89.61%,
1076,50,39,75,0,0,0,0,A,Holmes County,Ohio,44217,44226,44374,44390,County,Holmes County_Ohio_44217_44226_44374_44390,295539739,89.62%,
1077,50,37,13,0,0,0,0,A,Beaufort County,North Carolina,44658,44690,44438,44272,County,Beaufort County_North Carolina_44658_44690_44438_44272,295584011,89.63%,
1078,50,17,117,0,0,0,0,A,Macoupin County,Illinois,44967,44845,44545,44245,County,Macoupin County_Illinois_44967_44845_44545_44245,295628256,89.65%,
1079,50,53,17,0,0,0,0,A,Douglas County,Washington,42937,43031,43838,44192,County,Douglas County_Washington_42937_43031_43838_44192,295672448,89.66%,
1080,50,55,31,0,0,0,0,A,Douglas County,Wisconsin,44291,44343,44026,44144,County,Douglas County_Wisconsin_44291_44343_44026_44144,295716592,89.67%,
1081,50,37,59,0,0,0,0,A,Davie County,North Carolina,42715,42895,43614,44090,County,Davie County_North Carolina_42715_42895_43614_44090,295760682,89.69%,
1082,50,21,101,0,0,0,0,A,Henderson County,Kentucky,44791,44668,44417,44046,County,Henderson County_Kentucky_44791_44668_44417_44046,295804728,89.70%,
1083,50,33,19,0,0,0,0,A,Sullivan County,New Hampshire,43064,43069,43627,43958,County,Sullivan County_New Hampshire_43064_43069_43627_43958,295848686,89.71%,
1084,50,47,51,0,0,0,0,A,Franklin County,Tennessee,42769,42839,43247,43942,County,Franklin County_Tennessee_42769_42839_43247_43942,295892628,89.73%,
1085,50,48,143,0,0,0,0,A,Erath County,Texas,42545,42716,43389,43895,County,Erath County_Texas_42545_42716_43389_43895,295936523,89.74%,
1086,50,27,67,0,0,0,0,A,Kandiyohi County,Minnesota,43733,43726,43865,43839,County,Kandiyohi County_Minnesota_43733_43726_43865_43839,295980362,89.75%,
1087,50,8,85,0,0,0,0,A,Montrose County,Colorado,42680,42817,43230,43811,County,Montrose County_Colorado_42680_42817_43230_43811,296024173,89.77%,
1088,50,42,65,0,0,0,0,A,Jefferson County,Pennsylvania,44496,44478,44142,43794,County,Jefferson County_Pennsylvania_44496_44478_44142_43794,296067967,89.78%,
1089,50,29,29,0,0,0,0,A,Camden County,Missouri,42746,42802,43527,43768,County,Camden County_Missouri_42746_42802_43527_43768,296111735,89.79%,
1090,50,18,33,0,0,0,0,A,DeKalb County,Indiana,43273,43297,43369,43731,County,DeKalb County_Indiana_43273_43297_43369_43731,296155466,89.81%,
1091,50,40,137,0,0,0,0,A,Stephens County,Oklahoma,42844,42814,43174,43710,County,Stephens County_Oklahoma_42844_42814_43174_43710,296199176,89.82%,
1092,50,13,233,0,0,0,0,A,Polk County,Georgia,42854,42923,43332,43709,County,Polk County_Georgia_42854_42923_43332_43709,296242885,89.83%,
1093,50,45,25,0,0,0,0,A,Chesterfield County,South Carolina,43270,43250,43337,43683,County,Chesterfield County_South Carolina_43270_43250_43337_43683,296286568,89.85%,
1094,50,39,15,0,0,0,0,A,Brown County,Ohio,43674,43671,43690,43680,County,Brown County_Ohio_43674_43671_43690_43680,296330248,89.86%,
1095,50,40,71,0,0,0,0,A,Kay County,Oklahoma,43701,43609,43724,43668,County,Kay County_Oklahoma_43701_43609_43724_43668,296373916,89.87%,
1096,50,6,93,0,0,0,0,A,Siskiyou County,California,44075,43991,44026,43660,County,Siskiyou County_California_44075_43991_44026_43660,296417576,89.89%,
1097,50,13,9,0,0,0,0,A,Baldwin County,Georgia,43795,43794,43671,43635,County,Baldwin County_Georgia_43795_43794_43671_43635,296461211,89.90%,
1098,50,18,37,0,0,0,0,A,Dubois County,Indiana,43635,43643,43625,43632,County,Dubois County_Indiana_43635_43643_43625_43632,296504843,89.91%,
1099,50,47,47,0,0,0,0,A,Fayette County,Tennessee,42002,42151,42899,43630,County,Fayette County_Tennessee_42002_42151_42899_43630,296548473,89.93%,
1100,50,17,177,0,0,0,0,A,Stephenson County,Illinois,44623,44493,44071,43627,County,Stephenson County_Illinois_44623_44493_44071_43627,296592100,89.94%,
